hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
1,0,1,0,0,CALL,0,"['7h', '7d']","['2s', '6d']","['8d', '7s']",,,1,1
1,1,0,0,0,FOLD,0,"['7h', '7d']","['2s', '6d']","['8d', '7s', '8h']",,,2,2
2,0,0,-2,2,FOLD,0,"['6s', '5h']","['4d', '7s']","['3h', 'As']",,,1,1
3,0,1,-3,3,CALL,0,"['4h', '9h']","['2d', '6h']","['9d', 'Ah']",,,1,1
3,1,0,-3,3,FOLD,0,"['4h', '9h']","['2d', '6h']","['9d', 'Ah', '5d']",,,2,2
4,0,0,-5,5,RAISE,0,"['3d', '7s']","['3h', '2d']","['7h', '9s']",,,1,1
5,0,1,-6,6,CALL,0,"['3h', '8d']","['2d', '9h']","['9d', '5d']",,,1,1
5,1,0,-6,6,FOLD,0,"['3h', '8d']","['2d', '9h']","['9d', '5d', '5s']",,,2,2
