hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
1,0,1,-15,15,CALL,0,"['4s', '6d']","['4d', '2h']","['2s', '8d']",,,1,1
1,1,0,-15,15,RAISE,0,"['4s', '6d']","['4d', '2h']","['2s', '8d', '3d']",,,2,2
2,0,0,-17,17,FOLD,0,"['5s', '3d']","['5d', '4d']","['7s', '9h']",,,1,1
3,0,1,-18,18,CALL,0,"['4d', '5h']","['7s', '8h']","['9s', '4h']",,,1,1
3,1,0,-18,18,RAISE,0,"['4d', '5h']","['7s', '8h']","['9s', '4h', '3s']",,,2,2
4,0,0,-20,20,RAISE,0,"['9s', '7s']","['Ah', '5s']","['8d', '6h']",,,1,1
5,0,1,-21,21,CALL,0,"['3s', '7s']","['As', '2s']","['9s', '5d']",,,1,1
5,1,0,-21,21,RAISE,0,"['3s', '7s']","['As', '2s']","['9s', '5d', '9d']",,,2,2
