hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
1,0,1,-23,23,FOLD,0,"['3s', '8h']","['6s', '7s']","['8d', '2h']",,,1,1
2,0,0,-22,22,RAISE,0,"['7d', 'Ad']","['7s', '3d']","['Ah', '6s']",,,1,1
3,0,1,-23,23,FOLD,0,"['As', '8d']","['6d', '7h']","['6s', '9s']",,,1,1
4,0,0,-22,22,FOLD,0,"['8d', '3d']","['Ah', '3s']","['5h', '4d']",,,1,1
5,0,1,-23,23,RAISE,40,"['3d', '3h']","['5s', '3s']","['6s', '5d']",,,1,1
5,0,0,-23,23,RAISE,0,"['3d', '3h']","['5s', '3s']","['6s', '5d']",,,2,2
